sample_id,idFinal,grupo,motivo,model_key,prompt_type,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,source_text,reference_text,generated_text,sari,bertscore_f1,rougeL_f,compression_ratio_eval,exact_copy
3627,725_LibroUAC_Sincopyright.pdf,C_estructurales,Explicación con fórmula verbal.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,Muestra lo que la empresa gana o pierde en un período y explica mediante la fórmula de «ingresos  (costos + gastos)» cómo se ha producido ese resultado.,Presenta las ganancias o pérdidas de la empresa en un período. Y explica cómo se dio ese resultado.,La empresa ganó o perdió dinero en un período determinado. Esto se logra mediante una fórmula simple: ingresos menos costos y gastos.,47.11650922177238,0.7703369855880737,0.3111111111111111,0.8461538461538461,0
3206,1255_LibroUide_Sincopyright.pdf,C_estructurales,Dos conceptos técnicos en una sola oración.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Así como el estado de resultados se orienta a mostrar la solvencia de la operación, el EFE se orienta a analizar la liquidez de la misma (Ross, Westerfield, & Bradford, 2018).",El estado de resultados evidencia la solvencia de la operación. El estado de flujo de efectivo analiza la liquidez de la operación.,Muestra la solvencia de una empresa y analiza su capacidad para pagar sus deudas.,38.84457102862239,0.7610442042350769,0.2105263157894737,0.4666666666666667,0
329,17510_LibroBAC.pdf,C_estructurales,Definición tipo glosario.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Arancel: tarifa oficial que determina los derechos que se deben pagar en varios ramos, como el de costas judiciales, aduanas, ferrocarriles, etc. Tasa, valoración, norma, ley.","El arancel es una tarifa oficial y determina los derechos a pagar en varios sectores, como costas judiciales, aduanas, ferrocarriles, entre otros. También se le llama tasa, valoración, norma o ley.","Impuesto: una cantidad de dinero que se debe pagar por ciertas cosas, como procesos legales o importaciones, según las reglas establecidas.",27.147523247039278,0.7509174346923828,0.14545454545454545,0.8076923076923077,0
3481,130_LibroUAC_Sincopyright.pdf,C_estructurales,Evolución temporal con cifras.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"En sus comienzos cada moneda valía alrededor de $300, a fines de 2019 llega a $15.000 y continúa con alzas y bajas.","Al inicio, cada moneda valía casi trescientos pesos. A fines de dos mil diecinueve llegó a quince mil pesos. Sigue con alzas y bajas.",Cada moneda valía inicialmente alrededor de $300. Luego subió a $15.000 en diciembre de 2019 y siguió cambiando de precio.,31.555775758922135,0.7294366955757141,0.29787234042553196,0.9130434782608695,0
3703,884_LibroUAC_Sincopyright.pdf,C_estructurales,Ley + fechas + porcentaje.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"La Ley N.133 de febrero 2019 indica que la tasa de retención aumentará progresivamente, de 10 % en 2018 hasta llegar a 17 % en 2028.",Según la Ley ciento treinta y tres de febrero dos mil diecinueve indica que la tasa de retención aumentará progresivamente. De diez por ciento en dos mil dieciocho hasta llegar a diecisiete en dos mil veintiocho.,La tasa de retención aumentará gradualmente desde el 10% en 2018 hasta alcanzar el 17% en 2028.,33.994883655272936,0.705517053604126,0.32142857142857145,0.68,0
224,11653_LibroBAC.pdf,D_complejos,Lista de preguntas,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Antes de adquirir un crédito y por consiguiente una deuda, hágase las siguientes preguntas: ¿Realmente necesito este artículo ahora o puedo esperar hasta ahorrar el dinero necesario para adquirirlo?, ¿Puedo calificar para el crédito?, ¿Cuál es la tasa de interés?, ¿Hay costos adicionales?, ¿Cuánto es el pago mensual y cuándo se vence?, ¿Tengo capacidad financiera para afrontar el crédito  Puedo pagar el crédito?, ¿Qué pasaría si no realizo los pagos a tiempo?, ¿Cuál sería el costo extra por utilizar el crédito?, ¿Qué tengo que sacrificar para pagar el crédito (costo de oportunidad)? , Tomando en cuenta todo lo anterior, ¿vale la pena utilizar el crédito?","Hágase las siguientes preguntas antes de adquirir un crédito: ¿necesito este artículo ahora o puedo esperar hasta ahorrar el dinero para adquirirlo? ¿Califico para el crédito? ¿Cuál es la tasa de interés? ¿Hay costos adicionales? ¿Cuánto es el pago mensual y cuándo vence? ¿Puedo pagar el crédito? ¿Qué pasaría si no pago a tiempo? ¿Cuál sería el costo extra por utilizar el crédito? ¿Qué debo sacrificar para pagar el crédito? Según todo lo anterior, ¿utilizar el crédito es conveniente?","Antes de tomar un préstamo y comprometerme a pagar una deuda, hazte las siguientes preguntas: ¿Necesito esto ahora o puedo ahorrar para comprarlo? ¿Puedo obtener el préstamo? ¿Cuánto me costará? ¿Hay gastos extras? ¿Cuánto tengo que pagar cada mes y cuándo vence? ¿Tengo suficiente dinero para pagar el préstamo? ¿Qué pasaría si no pago a tiempo? ¿Valdrá la pena tomar el préstamo después de considerar todo esto?",39.6041117485974,0.8344603776931763,0.3508771929824561,0.6442307692307693,0
1765,5125_LibroBAC.pdf,D_complejos,Texto histórico-conceptual denso.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Thomas Mun fue el mejor exponente de las ideas predominantes en los siglos XV y XVI y en una serie de sesudas admoniciones aconsejaba a la gente cultivar las tierras baldías, reducir el consumo de géneros extranjeros y los frívolos cambios de moda; procurar mantener en alza los precios de los artículos vendibles al extranjero y reducirlos cuando sostuvieran una competencia eficaz, además de otras medidas relacionadas con fletes, embodegamiento de mercancías, etc.","Thomas Mun fue el mejor exponente de las ideas predominantes en los siglos quince y dieciséis. Él aconsejaba a las personas cultivar las tierras baldías, reducir el consumo de mercancía extranjera y no seguir los superficiales cambios de moda. También aconsejaba mantener los precios en aumento de los artículos vendibles al extranjero y reducirlos cuando tuvieran una competencia eficaz. Además, sugería otras medidas relacionadas con fletes, almacenamiento de mercancías, etcétera.","Thomas Mun recomendaba a la gente cultivar tierras desiertas, comprar menos productos extranjeros y no cambiar de moda tan rápido. También sugería mantener los precios altos para vender cosas al exterior y reducirlos cuando hubiera competencia efectiva.",30.04633641120526,0.8036118745803833,0.31932773109243695,0.5068493150684932,0
3508,203b_LibroUAC_Sincopyright.pdf,D_complejos,Texto ideológico/económico más cargado.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"El modelo económico que prevalece en el mundo occidental, desde la segunda mitad del siglo XX, es el de la economía de mercados cuyos principales exponentes fueron el economista austríaco, Friedrich von Hayek, y el estadounidense Milton Friedman, ambos defensores del liberalismo económico, modelo ideológico que nació en la denominada «escuela austríaca», a comienzos del 1900, y que posteriormente fue adoptado y expandido por la Universidad de Chicago.",El modelo económico sobresaliente en Occidente es el de la economía de mercados. Sus promotores fueron El austríaco Friedrich von Hayek y el estadounidense Milton Friedman. Quienes defendían el liberalismo económico surgido de la escuela austriaca a comienzos de mil novecientos.,"El modelo económico más común en Occidente desde mediados del siglo XX es el de economía de mercado. Dos de sus principales defensores son Friedrich von Hayek, un austríaco, y Milton Friedman, estadounidense, ambos partidarios del liberalismo económico.",43.99997397081173,0.8274151086807251,0.4888888888888889,0.5588235294117647,0
2523,282a_LibroNEFE_Sincopyright.pdf,D_complejos,Enumeración larga con información personal/crediticia.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Además de tus datos personales (nombre, dirección, fecha de nacimiento, número de Seguro Social) y tu información laboral, el informe contiene: tu nivel de endeudamiento; si hiciste los pagos en fecha; si tienes algún préstamo para el que no hayas hecho ningún pago; cuánto tiempo has usado crédito; el monto de crédito que tienes a disposición; el monto de crédito que estás usando en todas tus cuentas de crédito; si alguna de tus cuentas se ha pasado a cobros; si te has declarado en quiebra en los últimos 7 a 10 años; si te han embargado; si tienes facturas impagas, por ejemplo, facturas de servicios públicos o de gastos médicos; consultas sobre tu crédito realizadas por terceros (por ejemplo, arrendadores y entidades crediticias a quienes les solicitaste crédito).","El informe contiene tus datos personales, tu información laboral, tu nivel de endeudamiento. Si hiciste los pagos puntualmente. Si no has pagado algún préstamo. El tiempo de tener crédito y el monto. Si alguna de tus cuentas se ha pasado a cobros. Si te has declarado en quiebra en los últimos siete o diez años. Si te embargaron, entre otros.","El informe contiene información personal como nombre, dirección y fecha de nacimiento. También incluye detalles laborales y financieros como:

* Nivel de endeudamiento
* Pagos en tiempo
* Préstamos pendientes sin pago
* Tiempo usando crédito
* Monto disponible de crédito
* Monto actualmente usado en cuentas de crédito
* Cuentas pasadas a cobros
* Quiebra declarada en los últimos 7-10 años
* Embargos realizados
* Facturas impagas, como servicios públicos o gastos médicos
* Consultas sobre tu crédito realizadas por terceros.",34.948899801217074,0.7336123585700989,0.3378378378378379,0.5625,0
3690,843_LibroUAC_Sincopyright.pdf,D_complejos,Tabla/ley/tasas/categorías,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"La clasificación y las tasas de la ley de renta vigente durante 2019 se resumen a continuación: categorías del impuesto a la renta categorías tipos de rentas tasas de impuesto afecta a primera categoría rentas del capital tasa general de 25 % o 27,5 % las utilidades de empresas e inversiones de personas segunda categoría rentas del trabajo progresiva por tramos(desde 0 % a 40 %)los ingresos de trabajadores dependientes y pensionados impuesto global complementario suma de todas las rentas progresiva por tramos (desde 0 % a 40 %),menos los impuestos de primera y segunda categorías pagados todas las rentas (del capital y del trabajo) de las personas 
impuesto adicional rentas de no residentes (extranjeros)tasa de 35 % las transferencias fuera del país.","A continuación, resumimos la clasificación y las tasas de la Ley de Renta vigente en dos mil diecinueve: Categorías del impuesto a la renta.                        Primera categoría tiene una tasa general de veinticinco o veintisiete coma cinco por ciento de las ganancias de empresas e inversiones de personas. Segunda categoría son las rentas del trabajo progresivo por tramos desde cero a cuarenta por ciento. Los ingresos de trabajadores dependientes y pensionados.                                              El impuesto global complementario es la suma de todas las rentas progresiva por tramos menos los impuestos de primera y segunda categorías pagados.  El impuesto adicional de rentas de extranjeros tiene una tasa de treinta y cinco por ciento las transferencias fuera del país.","La ley de renta para 2019 tiene tres categorías:

* Primera categoría: Rentas del capital, con un impuesto del 25% o 27.5%.
* Segunda categoría: Rentas del trabajo, con un impuesto progresivo que va desde el 0% hasta el 40%. Esto afecta a trabajadores dependientes y pensionados.
* Tercera categoría: Impuesto adicional para rentas de no residentes (extranjeros), con un impuesto del 35%.

En resumen, la ley de renta tiene tres tipos de impuestos que se aplican según la fuente de la renta.",34.66028291788523,0.7095935344696045,0.29951690821256033,0.6694214876033058,0
2088,1872_LibroBAC.pdf,A_cortos,"Muy corto, sustitución léxica clara.",llama3,zero-shot,R0,0.3,0.9,1.15,256.0,La comunidad humana más antigua ha sido denominada horda primitiva.,La comunidad humana más antigua se llamó tribu.,La comunidad humana más antigua se llama horda primitiva.,67.76094276094277,0.9127476811408997,0.7368421052631577,0.9,0
2976,881_LibroNEFE_Sincopyright.pdf,A_cortos,Corto con dinero/cantidad.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Prueba a poner en un sobre o frasco $1 por día, más las monedas del cambio.",Pon en un sobre un dólar diario más las monedas del vuelto.,Pon $1 al día y también mete el dinero de los cambios.,29.96563472369924,0.7555496096611023,0.14285714285714285,0.75,0
3430,2692_LibroUide_Sincopyright.pdf,A_cortos,Frase conceptual simple de negocios.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,Uno de los problemas más importantes en los negocios es la asignación de precios a los productos.,Asignar precios a los productos es un problema importante en las empresas.,Un problema importante en los negocios es determinar qué precio poner a los productos.,50.932736567411496,0.8553621768951416,0.30769230769230765,0.8235294117647058,0
3679,829_LibroUAC_Sincopyright.pdf,A_cortos,Corto con número e IVA.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"El resultado será 190, o sea, el IVA del kilo de pan es de $190.","El resultado será ciento noventa. Es decir, el impuesto al valor agregado del kilo de pan son ciento noventa pesos.",El precio total por kilogramo de pan incluye un impuesto de $190.,31.022263974850187,0.7475683689117432,0.18749999999999997,0.8,0
3145,1045_LibroUide_Sincopyright.pdf,A_cortos,Corto con proporción financiera.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Por cada $100 facturados, la compañía gasta $2.20 en intereses.",La empresa gasta dos dólares con veinte centavos por cada cien dólares facturados.,La empresa gastará 2.20 dólares por cada 100 dólares que factura en concepto de interés.,46.88034188034188,0.8190880417823792,0.47058823529411764,1.4545454545454546,0
507,562_LibroUAC_Sincopyright.pdf,B_medianos,Porcentajes y rentabilidad.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"En general, se dice que la rentabilidad normal de una inversión en países desarrollados fluctúa, en promedio, entre el 6 % y el 8 % anual.","Generalmente, la rentabilidad normal de una inversión en países desarrollados varía entre el seis por ciento y el ocho por ciento anual.",Las inversiones en países desarrollados suelen dar un rendimiento anual entre el 6% y el 8%.,32.92825312887724,0.8245730400085449,0.38095238095238104,0.6666666666666666,0
1756,5100_LibroBAC.pdf,B_medianos,Redacción abstracta/institucional.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,En virtud de estas y otras reflexiones fue que se diseñó este capítulo en el marco del Libro Maestro de la cual forma parte sustantiva.,Debido a estas y otras reflexiones se diseñó este capítulo que forma parte fundamental del presente libro maestro de educación financiera.,"Este capítulo fue creado como resultado de estas ideas y otras, y es una parte importante del libro.",36.362134916398475,0.7822855114936829,0.28571428571428575,0.72,0
3093,875_LibroUide_Sincopyright.pdf,B_medianos,Definición contable.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Las cuentas de activo reflejan aquello que posee la organización, independientemente de cómo se haya financiado.",Las cuentas de activo evidencian las pertenencias de la empresa. No importa cómo se financiaron.,"La cuenta de activos muestra lo que una empresa tiene, sin importar cómo lo pagó.",34.08764367816092,0.8143612146377563,0.25,0.9375,0
3192,1202_LibroUide_Sincopyright.pdf,B_medianos,"Relación de pasivo/activo, útil para precisión.",llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Por cada dólar de pasivo corriente, la compañía cuenta con 93 centavos de dólar en activos corrientes súper líquidos.",La empresa tiene noventa y tres centavos de dólar en activos corrientes súper líquidos por dólar de pasivo corriente.,"Para cada dólar de deudas que debe pagar pronto, la empresa tiene 93 centavos disponibles para gastar o invertir.",28.235571876566397,0.7500336766242981,0.18604651162790697,1.0,0
3525,230_LibroUAC_Sincopyright.pdf,B_medianos,Dato económico con cifra.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Posee la renta per cápita más alta de Latinoamérica, con alrededor de US$25.000 por habitante (según datos de 2019).",Tiene la renta per cápita más alta de Latinoamérica. Con casi veinticinco mil dólares estadounidenses por habitante.,"La renta per capita en este país es la más alta de Latinoamérica, con unos $25.000 por persona (datos de 2019).",35.915275309645956,0.7926802039146423,0.4782608695652174,1.0476190476190477,0
3627,725_LibroUAC_Sincopyright.pdf,C_estructurales,Explicación con fórmula verbal.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,Muestra lo que la empresa gana o pierde en un período y explica mediante la fórmula de «ingresos  (costos + gastos)» cómo se ha producido ese resultado.,Presenta las ganancias o pérdidas de la empresa en un período. Y explica cómo se dio ese resultado.,La empresa ganó o perdió dinero durante un período. Esto se debe a que los ingresos menos costos y gastos es igual al resultado final.,40.84782902550748,0.7554816007614136,0.2978723404255319,0.9615384615384616,0
3206,1255_LibroUide_Sincopyright.pdf,C_estructurales,Dos conceptos técnicos en una sola oración.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Así como el estado de resultados se orienta a mostrar la solvencia de la operación, el EFE se orienta a analizar la liquidez de la misma (Ross, Westerfield, & Bradford, 2018).",El estado de resultados evidencia la solvencia de la operación. El estado de flujo de efectivo analiza la liquidez de la operación.,"Muestra cómo la empresa puede pagar sus deudas.

(",30.469121196491884,0.7132161855697632,0.06060606060606061,0.26666666666666666,0
329,17510_LibroBAC.pdf,C_estructurales,Definición tipo glosario.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Arancel: tarifa oficial que determina los derechos que se deben pagar en varios ramos, como el de costas judiciales, aduanas, ferrocarriles, etc. Tasa, valoración, norma, ley.","El arancel es una tarifa oficial y determina los derechos a pagar en varios sectores, como costas judiciales, aduanas, ferrocarriles, entre otros. También se le llama tasa, valoración, norma o ley.","Impuesto: una cantidad de dinero que se debe pagar por ciertas cosas, como procesos legales o importaciones, según las reglas del país.",27.103431536280898,0.7535213232040405,0.14035087719298245,0.8461538461538461,0
3481,130_LibroUAC_Sincopyright.pdf,C_estructurales,Evolución temporal con cifras.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"En sus comienzos cada moneda valía alrededor de $300, a fines de 2019 llega a $15.000 y continúa con alzas y bajas.","Al inicio, cada moneda valía casi trescientos pesos. A fines de dos mil diecinueve llegó a quince mil pesos. Sigue con alzas y bajas.",Cada moneda valía inicialmente unos $300. Luego subió hasta $15.000 en diciembre de 2019 y ha seguido fluctuando desde entonces.,35.46340229673563,0.7161694169044495,0.2553191489361702,0.9130434782608695,0
3703,884_LibroUAC_Sincopyright.pdf,C_estructurales,Ley + fechas + porcentaje.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"La Ley N.133 de febrero 2019 indica que la tasa de retención aumentará progresivamente, de 10 % en 2018 hasta llegar a 17 % en 2028.",Según la Ley ciento treinta y tres de febrero dos mil diecinueve indica que la tasa de retención aumentará progresivamente. De diez por ciento en dos mil dieciocho hasta llegar a diecisiete en dos mil veintiocho.,La ley dice que la tasa de retención subirá gradualmente desde el 10% en 2018 hasta alcanzar el 17% en 2028.,35.60973590247813,0.728613018989563,0.3666666666666667,0.84,0
224,11653_LibroBAC.pdf,D_complejos,Lista de preguntas,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Antes de adquirir un crédito y por consiguiente una deuda, hágase las siguientes preguntas: ¿Realmente necesito este artículo ahora o puedo esperar hasta ahorrar el dinero necesario para adquirirlo?, ¿Puedo calificar para el crédito?, ¿Cuál es la tasa de interés?, ¿Hay costos adicionales?, ¿Cuánto es el pago mensual y cuándo se vence?, ¿Tengo capacidad financiera para afrontar el crédito  Puedo pagar el crédito?, ¿Qué pasaría si no realizo los pagos a tiempo?, ¿Cuál sería el costo extra por utilizar el crédito?, ¿Qué tengo que sacrificar para pagar el crédito (costo de oportunidad)? , Tomando en cuenta todo lo anterior, ¿vale la pena utilizar el crédito?","Hágase las siguientes preguntas antes de adquirir un crédito: ¿necesito este artículo ahora o puedo esperar hasta ahorrar el dinero para adquirirlo? ¿Califico para el crédito? ¿Cuál es la tasa de interés? ¿Hay costos adicionales? ¿Cuánto es el pago mensual y cuándo vence? ¿Puedo pagar el crédito? ¿Qué pasaría si no pago a tiempo? ¿Cuál sería el costo extra por utilizar el crédito? ¿Qué debo sacrificar para pagar el crédito? Según todo lo anterior, ¿utilizar el crédito es conveniente?","Antes de tomar un préstamo y comprometerme a pagar una deuda, hazte las siguientes preguntas: Necesito este artículo ahora o puedo esperar? Puedo obtener el préstamo? ¿Cuánto cuesta? ¿Hay costos extras? ¿Puedo pagar la cuota mensual? ¿Qué pasa si no pago a tiempo? ¿Qué tengo que sacrificar para pagar el préstamo? Finalmente, vale la pena tomar el préstamo?",39.20067605554908,0.8368515968322754,0.36477987421383645,0.5576923076923077,0
1765,5125_LibroBAC.pdf,D_complejos,Texto histórico-conceptual denso.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Thomas Mun fue el mejor exponente de las ideas predominantes en los siglos XV y XVI y en una serie de sesudas admoniciones aconsejaba a la gente cultivar las tierras baldías, reducir el consumo de géneros extranjeros y los frívolos cambios de moda; procurar mantener en alza los precios de los artículos vendibles al extranjero y reducirlos cuando sostuvieran una competencia eficaz, además de otras medidas relacionadas con fletes, embodegamiento de mercancías, etc.","Thomas Mun fue el mejor exponente de las ideas predominantes en los siglos quince y dieciséis. Él aconsejaba a las personas cultivar las tierras baldías, reducir el consumo de mercancía extranjera y no seguir los superficiales cambios de moda. También aconsejaba mantener los precios en aumento de los artículos vendibles al extranjero y reducirlos cuando tuvieran una competencia eficaz. Además, sugería otras medidas relacionadas con fletes, almacenamiento de mercancías, etcétera.","Thomas Mun recomendaba a la gente cultivar tierras desiertas, comprar menos productos extranjeros y no cambiar tanto de moda. También sugería mantener los precios altos para vender cosas al exterior y bajarlos cuando otros competieran efectivamente.",29.181748196838882,0.7905134558677673,0.2905982905982906,0.4931506849315068,0
3508,203b_LibroUAC_Sincopyright.pdf,D_complejos,Texto ideológico/económico más cargado.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"El modelo económico que prevalece en el mundo occidental, desde la segunda mitad del siglo XX, es el de la economía de mercados cuyos principales exponentes fueron el economista austríaco, Friedrich von Hayek, y el estadounidense Milton Friedman, ambos defensores del liberalismo económico, modelo ideológico que nació en la denominada «escuela austríaca», a comienzos del 1900, y que posteriormente fue adoptado y expandido por la Universidad de Chicago.",El modelo económico sobresaliente en Occidente es el de la economía de mercados. Sus promotores fueron El austríaco Friedrich von Hayek y el estadounidense Milton Friedman. Quienes defendían el liberalismo económico surgido de la escuela austriaca a comienzos de mil novecientos.,"El modelo económico occidental desde mediados del siglo XX es el de economía de mercado. Dos economistas importantes detrás de este modelo son Friedrich von Hayek y Milton Friedman, ambos defensores del liberalismo económico que surgió en la escuela austríaca en 1900 y se expandió por la Universidad de Chicago.",39.86604243191649,0.8201829791069031,0.43564356435643564,0.7352941176470589,0
2523,282a_LibroNEFE_Sincopyright.pdf,D_complejos,Enumeración larga con información personal/crediticia.,llama3,zero-shot,R0,0.3,0.9,1.15,256.0,"Además de tus datos personales (nombre, dirección, fecha de nacimiento, número de Seguro Social) y tu información laboral, el informe contiene: tu nivel de endeudamiento; si hiciste los pagos en fecha; si tienes algún préstamo para el que no hayas hecho ningún pago; cuánto tiempo has usado crédito; el monto de crédito que tienes a disposición; el monto de crédito que estás usando en todas tus cuentas de crédito; si alguna de tus cuentas se ha pasado a cobros; si te has declarado en quiebra en los últimos 7 a 10 años; si te han embargado; si tienes facturas impagas, por ejemplo, facturas de servicios públicos o de gastos médicos; consultas sobre tu crédito realizadas por terceros (por ejemplo, arrendadores y entidades crediticias a quienes les solicitaste crédito).","El informe contiene tus datos personales, tu información laboral, tu nivel de endeudamiento. Si hiciste los pagos puntualmente. Si no has pagado algún préstamo. El tiempo de tener crédito y el monto. Si alguna de tus cuentas se ha pasado a cobros. Si te has declarado en quiebra en los últimos siete o diez años. Si te embargaron, entre otros.","El informe contiene información personal como nombre, dirección y fecha de nacimiento. También incluye detalles laborales y financieros como el nivel de endeudamiento, pagos realizados o pendientes, préstamos sin pago, uso de crédito y montos disponibles y utilizados. Además, se menciona si alguna cuenta está en mora, si te declaraste en quiebra, si te embargaron o tienes facturas impagas.",39.20772274196111,0.7685307860374451,0.35384615384615387,0.4609375,0
