Texto,criterio,evaluacion_interna,evaluacion_externa,valor_final_conciliado
89,Estructura y presentación (5|3|1),5.0,0.0,0.0
89,Manejo de números y datos (5|3|1),5.0,0.0,0.0
91,Semántica  (5|3|1),3.0,0.0,0.0
91,Claridad  (5|3|1),5.0,0.0,0.0
91,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
91,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
91,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
91,Estructura y presentación (5|3|1),5.0,0.0,0.0
91,Manejo de números y datos (5|3|1),5.0,0.0,0.0
92,Semántica  (5|3|1),3.0,0.0,0.0
92,Claridad  (5|3|1),3.0,0.0,0.0
92,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
92,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
92,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
92,Estructura y presentación (5|3|1),5.0,0.0,0.0
92,Manejo de números y datos (5|3|1),5.0,0.0,0.0
95,Semántica  (5|3|1),5.0,0.0,0.0
95,Claridad  (5|3|1),3.0,0.0,0.0
95,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
95,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
95,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
95,Estructura y presentación (5|3|1),5.0,0.0,0.0
95,Manejo de números y datos (5|3|1),3.0,0.0,0.0
98,Semántica  (5|3|1),3.0,0.0,0.0
98,Claridad  (5|3|1),3.0,0.0,0.0
98,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
98,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
98,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
98,Estructura y presentación (5|3|1),5.0,0.0,0.0
98,Manejo de números y datos (5|3|1),5.0,0.0,0.0
103,Semántica  (5|3|1),3.0,0.0,0.0
103,Claridad  (5|3|1),1.0,0.0,0.0
103,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
103,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
103,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
103,Estructura y presentación (5|3|1),3.0,0.0,0.0
103,Manejo de números y datos (5|3|1),5.0,0.0,0.0
109,Semántica  (5|3|1),0.0,0.0,0.0
109,Claridad  (5|3|1),0.0,0.0,0.0
109,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
109,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
109,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
109,Estructura y presentación (5|3|1),0.0,0.0,0.0
109,Manejo de números y datos (5|3|1),0.0,0.0,0.0
110,Semántica  (5|3|1),0.0,0.0,0.0
110,Claridad  (5|3|1),0.0,0.0,0.0
110,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
110,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
110,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
110,Estructura y presentación (5|3|1),0.0,0.0,0.0
110,Manejo de números y datos (5|3|1),0.0,0.0,0.0
113,Semántica  (5|3|1),3.0,0.0,0.0
113,Claridad  (5|3|1),3.0,0.0,0.0
113,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
113,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
113,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
113,Estructura y presentación (5|3|1),5.0,0.0,0.0
113,Manejo de números y datos (5|3|1),5.0,0.0,0.0
115,Semántica  (5|3|1),5.0,0.0,0.0
115,Claridad  (5|3|1),3.0,0.0,0.0
115,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
115,Léxico y sintaxis (5|3|1),3.0,0.0,0.0
115,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
115,Estructura y presentación (5|3|1),3.0,0.0,0.0
115,Manejo de números y datos (5|3|1),5.0,0.0,0.0
116,Semántica  (5|3|1),5.0,0.0,0.0
116,Claridad  (5|3|1),3.0,0.0,0.0
116,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
116,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
116,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
116,Estructura y presentación (5|3|1),5.0,0.0,0.0
116,Manejo de números y datos (5|3|1),5.0,0.0,0.0
117,Semántica  (5|3|1),5.0,0.0,0.0
117,Claridad  (5|3|1),3.0,0.0,0.0
117,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
117,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
117,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
117,Estructura y presentación (5|3|1),3.0,0.0,0.0
117,Manejo de números y datos (5|3|1),5.0,0.0,0.0
119,Semántica  (5|3|1),0.0,0.0,0.0
119,Claridad  (5|3|1),0.0,0.0,0.0
119,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
119,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
119,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
119,Estructura y presentación (5|3|1),0.0,0.0,0.0
119,Manejo de números y datos (5|3|1),0.0,0.0,0.0
120,Semántica  (5|3|1),5.0,0.0,0.0
120,Claridad  (5|3|1),3.0,0.0,0.0
120,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
120,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
120,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
120,Estructura y presentación (5|3|1),5.0,0.0,0.0
120,Manejo de números y datos (5|3|1),5.0,0.0,0.0
123,Semántica  (5|3|1),0.0,0.0,0.0
123,Claridad  (5|3|1),0.0,0.0,0.0
123,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
123,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
123,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
123,Estructura y presentación (5|3|1),0.0,0.0,0.0
123,Manejo de números y datos (5|3|1),0.0,0.0,0.0
124,Semántica  (5|3|1),5.0,0.0,0.0
124,Claridad  (5|3|1),3.0,0.0,0.0
124,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
124,Léxico y sintaxis (5|3|1),3.0,0.0,0.0
124,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
124,Estructura y presentación (5|3|1),5.0,0.0,0.0
124,Manejo de números y datos (5|3|1),5.0,0.0,0.0
127,Semántica  (5|3|1),5.0,0.0,0.0
127,Claridad  (5|3|1),3.0,0.0,0.0
127,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
127,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
127,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
127,Estructura y presentación (5|3|1),5.0,0.0,0.0
127,Manejo de números y datos (5|3|1),5.0,0.0,0.0
128,Semántica  (5|3|1),5.0,0.0,0.0
128,Claridad  (5|3|1),3.0,0.0,0.0
128,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
128,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
128,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
128,Estructura y presentación (5|3|1),5.0,0.0,0.0
128,Manejo de números y datos (5|3|1),5.0,0.0,0.0
136,Semántica  (5|3|1),5.0,0.0,0.0
136,Claridad  (5|3|1),3.0,0.0,0.0
136,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
136,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
136,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
136,Estructura y presentación (5|3|1),5.0,0.0,0.0
136,Manejo de números y datos (5|3|1),5.0,0.0,0.0
139,Semántica  (5|3|1),5.0,0.0,0.0
139,Claridad  (5|3|1),3.0,0.0,0.0
139,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
139,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
139,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
139,Estructura y presentación (5|3|1),5.0,0.0,0.0
139,Manejo de números y datos (5|3|1),5.0,0.0,0.0
144,Semántica  (5|3|1),3.0,0.0,0.0
144,Claridad  (5|3|1),3.0,0.0,0.0
144,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
144,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
144,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
144,Estructura y presentación (5|3|1),5.0,0.0,0.0
144,Manejo de números y datos (5|3|1),5.0,0.0,0.0
