Texto,Semántica  (5|3|1),Claridad  (5|3|1),Fluidez y corrección  (5|3|1),Léxico y sintaxis (5|3|1),Adecuación al público / tono (5|3|1),Estructura y presentación (5|3|1),Manejo de números y datos (5|3|1),Puntaje Final,Aplico regla cero,system_id,system_name,system_family
29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
30,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
32,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
33,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
34,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_1,PROMPTING_SISTEMA_1,prompting
35,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.95,False,prompt_1,PROMPTING_SISTEMA_1,prompting
36,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
37,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
39,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_2,PROMPTING_SISTEMA_2,prompting
40,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.55,False,prompt_2,PROMPTING_SISTEMA_2,prompting
41,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.25,False,prompt_2,PROMPTING_SISTEMA_2,prompting
42,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.9,False,prompt_2,PROMPTING_SISTEMA_2,prompting
43,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.9,False,prompt_2,PROMPTING_SISTEMA_2,prompting
44,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
45,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
46,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
47,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
48,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7499999999999996,False,prompt_2,PROMPTING_SISTEMA_2,prompting
49,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_2,PROMPTING_SISTEMA_2,prompting
50,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
51,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_2,PROMPTING_SISTEMA_2,prompting
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
53,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
54,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.6,False,prompt_2,PROMPTING_SISTEMA_2,prompting
55,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_2,PROMPTING_SISTEMA_2,prompting
57,3.0,5.0,5.0,5.0,5.0,5.0,1.0,4.3,False,prompt_2,PROMPTING_SISTEMA_2,prompting
58,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.8,False,prompt_2,PROMPTING_SISTEMA_2,prompting
59,1.0,3.0,5.0,5.0,5.0,5.0,3.0,3.4,False,prompt_2,PROMPTING_SISTEMA_2,prompting
60,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_2,PROMPTING_SISTEMA_2,prompting
61,1.0,1.0,4.0,5.0,5.0,4.0,4.0,2.7,False,prompt_2,PROMPTING_SISTEMA_2,prompting
62,5.0,3.0,3.0,4.0,5.0,3.0,4.0,3.8500000000000005,False,prompt_2,PROMPTING_SISTEMA_2,prompting
63,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_2,PROMPTING_SISTEMA_2,prompting
64,1.0,3.0,5.0,5.0,5.0,5.0,5.0,3.5,False,prompt_2,PROMPTING_SISTEMA_2,prompting
65,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.9,False,prompt_2,PROMPTING_SISTEMA_2,prompting
66,2.0,2.0,5.0,4.0,5.0,3.0,5.0,3.2,False,prompt_2,PROMPTING_SISTEMA_2,prompting
67,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.25,False,prompt_2,PROMPTING_SISTEMA_2,prompting
68,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.25,False,prompt_2,PROMPTING_SISTEMA_2,prompting
69,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.6,False,prompt_2,PROMPTING_SISTEMA_2,prompting
70,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_2,PROMPTING_SISTEMA_2,prompting
71,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.9,False,prompt_2,PROMPTING_SISTEMA_2,prompting
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_2,PROMPTING_SISTEMA_2,prompting
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
74,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_3,PROMPTING_SISTEMA_3,prompting
75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
76,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
77,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
78,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.9,False,prompt_3,PROMPTING_SISTEMA_3,prompting
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
80,1.0,1.0,1.0,3.0,5.0,4.0,5.0,2.1,False,prompt_3,PROMPTING_SISTEMA_3,prompting
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
82,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
85,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.75,False,prompt_3,PROMPTING_SISTEMA_3,prompting
86,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_3,PROMPTING_SISTEMA_3,prompting
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
90,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.95,False,prompt_3,PROMPTING_SISTEMA_3,prompting
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
93,5.0,5.0,4.0,3.0,5.0,5.0,3.0,4.550000000000001,False,prompt_3,PROMPTING_SISTEMA_3,prompting
94,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
96,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.1,False,prompt_3,PROMPTING_SISTEMA_3,prompting
97,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
99,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.05,False,prompt_3,PROMPTING_SISTEMA_3,prompting
100,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.8,False,prompt_3,PROMPTING_SISTEMA_3,prompting
101,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_3,PROMPTING_SISTEMA_3,prompting
102,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_3,PROMPTING_SISTEMA_3,prompting
104,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.25,False,prompt_3,PROMPTING_SISTEMA_3,prompting
105,1.0,4.0,3.0,3.0,4.0,3.0,5.0,2.95,False,prompt_3,PROMPTING_SISTEMA_3,prompting
106,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_3,PROMPTING_SISTEMA_3,prompting
107,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_3,PROMPTING_SISTEMA_3,prompting
108,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.4,False,prompt_3,PROMPTING_SISTEMA_3,prompting
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
111,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.6,False,prompt_4,PROMPTING_SISTEMA_4,prompting
112,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,False,prompt_4,PROMPTING_SISTEMA_4,prompting
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
114,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.449999999999999,False,prompt_4,PROMPTING_SISTEMA_4,prompting
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
118,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_4,PROMPTING_SISTEMA_4,prompting
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
121,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.2,False,prompt_4,PROMPTING_SISTEMA_4,prompting
122,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_4,PROMPTING_SISTEMA_4,prompting
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
125,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,False,prompt_4,PROMPTING_SISTEMA_4,prompting
126,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.95,False,prompt_4,PROMPTING_SISTEMA_4,prompting
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
129,5.0,5.0,4.0,5.0,5.0,5.0,1.0,4.6499999999999995,False,prompt_4,PROMPTING_SISTEMA_4,prompting
130,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_4,PROMPTING_SISTEMA_4,prompting
131,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_4,PROMPTING_SISTEMA_4,prompting
132,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.6,False,prompt_4,PROMPTING_SISTEMA_4,prompting
133,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.1,False,prompt_4,PROMPTING_SISTEMA_4,prompting
134,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.1,False,prompt_4,PROMPTING_SISTEMA_4,prompting
135,5.0,3.0,2.0,5.0,4.0,4.0,5.0,3.8499999999999996,False,prompt_4,PROMPTING_SISTEMA_4,prompting
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
137,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_4,PROMPTING_SISTEMA_4,prompting
138,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.35,False,prompt_4,PROMPTING_SISTEMA_4,prompting
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
140,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_4,PROMPTING_SISTEMA_4,prompting
141,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,False,prompt_4,PROMPTING_SISTEMA_4,prompting
142,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_4,PROMPTING_SISTEMA_4,prompting
143,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.7,False,prompt_4,PROMPTING_SISTEMA_4,prompting
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,prompt_4,PROMPTING_SISTEMA_4,prompting
