Texto,Semántica  (5|3|1)_interna,Semántica  (5|3|1)_externa,Semántica  (5|3|1),Semántica  (5|3|1)_diferencia_original,Semántica  (5|3|1)_aplico_regla_cero,Claridad  (5|3|1)_interna,Claridad  (5|3|1)_externa,Claridad  (5|3|1),Claridad  (5|3|1)_diferencia_original,Claridad  (5|3|1)_aplico_regla_cero,Fluidez y corrección  (5|3|1)_interna,Fluidez y corrección  (5|3|1)_externa,Fluidez y corrección  (5|3|1),Fluidez y corrección  (5|3|1)_diferencia_original,Fluidez y corrección  (5|3|1)_aplico_regla_cero,Léxico y sintaxis (5|3|1)_interna,Léxico y sintaxis (5|3|1)_externa,Léxico y sintaxis (5|3|1),Léxico y sintaxis (5|3|1)_diferencia_original,Léxico y sintaxis (5|3|1)_aplico_regla_cero,Adecuación al público / tono (5|3|1)_interna,Adecuación al público / tono (5|3|1)_externa,Adecuación al público / tono (5|3|1),Adecuación al público / tono (5|3|1)_diferencia_original,Adecuación al público / tono (5|3|1)_aplico_regla_cero,Estructura y presentación (5|3|1)_interna,Estructura y presentación (5|3|1)_externa,Estructura y presentación (5|3|1),Estructura y presentación (5|3|1)_diferencia_original,Estructura y presentación (5|3|1)_aplico_regla_cero,Manejo de números y datos (5|3|1)_interna,Manejo de números y datos (5|3|1)_externa,Manejo de números y datos (5|3|1),Manejo de números y datos (5|3|1)_diferencia_original,Manejo de números y datos (5|3|1)_aplico_regla_cero,Puntaje Final,Aplico regla cero
19,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
20,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
21,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,4.8500000000000005,False
22,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
23,1.0,1.0,1.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,3.0,1.0,2.0,2.0,False,2.4499999999999997,False
24,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
25,1.0,1.0,1.0,0.0,False,1.0,1.0,1.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.0,False
26,1.0,5.0,3.0,4.0,False,1.0,5.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.0,False
27,1.0,1.0,1.0,0.0,False,3.0,1.0,2.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.25,False
28,1.0,1.0,1.0,0.0,False,1.0,1.0,1.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.0,False
29,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
30,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
31,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
32,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
33,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
34,1.0,5.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
35,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,4.95,False
36,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
37,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
38,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
39,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
40,3.0,3.0,3.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.55,False
41,1.0,1.0,1.0,0.0,False,3.0,1.0,2.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.25,False
42,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.9,False
43,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.9,False
44,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
45,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
46,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
47,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
48,3.0,1.0,2.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.7499999999999996,False
49,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
50,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
51,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
52,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
53,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
54,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,1.0,2.0,2.0,False,4.6,False
55,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
56,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
57,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,1.0,1.0,0.0,False,4.3,False
58,1.0,1.0,1.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,1.0,1.0,0.0,False,3.8,False
59,1.0,1.0,1.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,5.0,3.0,4.0,False,3.4,False
60,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
61,1.0,1.0,1.0,0.0,False,1.0,1.0,1.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,2.7,False
62,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,3.8500000000000005,False
63,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
64,1.0,1.0,1.0,0.0,False,1.0,5.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.5,False
65,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,5.0,3.0,4.0,False,4.9,False
66,1.0,3.0,2.0,2.0,False,1.0,3.0,2.0,2.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,3.2,False
67,5.0,5.0,5.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.25,False
68,1.0,5.0,3.0,4.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.25,False
69,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.6,False
70,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
71,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,4.9,False
72,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
73,0.0,5.0,0.0,5.0,True,0.0,5.0,0.0,5.0,True,0.0,5.0,0.0,5.0,True,0.0,3.0,0.0,3.0,True,0.0,5.0,0.0,5.0,True,0.0,5.0,0.0,5.0,True,0.0,5.0,0.0,5.0,True,0.0,True
74,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
75,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
76,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
77,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
78,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.9,False
79,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
80,1.0,1.0,1.0,0.0,False,1.0,1.0,1.0,0.0,False,1.0,1.0,1.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,2.1,False
81,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
82,3.0,3.0,3.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.0,False
83,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
84,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
85,5.0,1.0,3.0,4.0,False,3.0,3.0,3.0,0.0,False,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.75,False
86,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
87,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
88,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
89,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
90,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,4.95,False
91,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
92,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
93,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,5.0,3.0,4.0,False,4.550000000000001,False
