sample_id,model_key,ruleset,source_text,generated_text,inference_seconds,semantic_fidelity,simplicity,fluency,artifact_free,review_notes
sb_004,llama3,R2,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,Entender bien los términos del contrato ayuda a evitar confusiones y tomar decisiones sabias sobre inversiones financieras.,6.9301,,,,,
sb_005,mistral,R0,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo la tasa de interés, sino también gastos extra como comisiones y penas.

(Users must consider not only the interest rate but also additional costs such as commissions and penalties.)",6.0455,,,,,
sb_005,mistral,R2,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben identificar no solo la tasa de interés, sino también gastos extras como comisiones, penas y costos asociados al servicio.",5.7404,,,,,
sb_005,llama3,R0,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo el interés, sino también las comisiones y otros gastos que se pagan por usar el servicio.",7.1831,,,,,
sb_005,llama3,R2,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo el interés, sino también los demás gastos que se pagan por usar el servicio.",6.4271,,,,,
sb_006,mistral,R0,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","El presupuesto familiar es una herramienta importante para previsionar gastos, distribuir ingresos y evitar deudas excesivas.",5.4349,,,,,
sb_006,mistral,R2,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","Familiares gastos presupuesto importante es para previsionar gastos, pagar ingresos y evitar deuda excesiva.

(",7.0418,,,,,
sb_006,llama3,R0,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","El presupuesto familiar es importante porque te ayuda a saber cuánto gastas, cómo repartes tu dinero y a evitar problemas con la deuda.",7.0351,,,,,
sb_006,llama3,R2,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","Un presupuesto familiar es importante para saber qué gastar, cómo repartir el dinero y evitar endeudarse demasiado.",6.8888,,,,,
sb_007,mistral,R0,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede dar acceso rápido a cosas y servicios, pero usarlo irresponsablemente puede poner en riesgo la economía de tu hogar.

(Credit can give immediate access to goods and services, but using it irresponsibly can put your home economy at risk.)",6.8039,,,,,
sb_007,mistral,R2,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede dar acceso rápido a cosas y servicios, pero usarlo irresponsablemente puede poner en peligro la economía de tu hogar.

(",6.303,,,,,
sb_007,llama3,R0,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede hacer que los bienes y servicios sean más fáciles de obtener, pero si no se maneja bien, puede afectar negativamente la economía del hogar.",7.6094,,,,,
sb_007,llama3,R2,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede hacer que tengas cosas y servicios rápidamente, pero si no lo usas bien, puede afectar la economía de tu casa.",6.9855,,,,,
sb_008,mistral,R0,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.","En algunos ambientes educativos, simplificar textos mejora la comprención de lectura sin cambiar el significado original de la información.",5.8752,,,,,
sb_008,mistral,R2,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.","En distintas situaciones educativas, simplificar un texto mejora la comprensión al leer sin cambiar el significado original de la información.",5.7211,,,,,
sb_008,llama3,R0,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",La simplificación de textos puede ayudar a entender mejor lo que se lee sin cambiar lo importante que se quiere decir.,6.649,,,,,
sb_008,llama3,R2,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",La simplificación de textos ayuda a entender mejor lo que se lee sin cambiar el significado principal.,6.5779,,,,,
sb_001,bloomz_small,R0,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",Ahora puedes leer este artículo.,6.6094,,,,,
sb_001,bloomz_small,R2,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",Ahora puedes empezar tu propia empresa.,0.3283,,,,,
sb_002,bloomz_small,R0,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,Ahora puedes ver esta publicación.,0.2374,,,,,
sb_002,bloomz_small,R2,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,Ahora puedes ver esta publicación en: https://www.bbcworldnews .com/NoticiasEnLínea,0.5966,,,,,
sb_003,bloomz_small,R0,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.",Ahora puedes leer este artículo.,0.2299,,,,,
sb_003,bloomz_small,R2,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.",Ahora puedes ver las versiones anteriores del artículo.,0.3306,,,,,
sb_004,bloomz_small,R0,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,Ahora puedes leer esta publicación.,0.2388,,,,,
sb_004,bloomz_small,R2,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,Ahora puedes leer esta publicación.,0.2426,,,,,
sb_005,bloomz_small,R0,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.",Ahora que hemos escrito todo lo anterior sobre los servicios financieros básicos.,0.4338,,,,,
sb_005,bloomz_small,R2,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.",Ahora que hemos escrito todo lo anterior sobre los conceptos básicos del análisis técnico.,0.5477,,,,,
sb_006,bloomz_small,R0,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.",Ahora puedes ver esta publicación en: http://bit.ly/1wLvQkO,0.5881,,,,,
sb_006,bloomz_small,R2,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.",Ahora puedes usar esta plantilla como guía.,0.3371,,,,,
sb_007,bloomz_small,R0,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El credito es una herramienta que ayuda al consumidor. Sin embargo,...",0.4598,,,,,
sb_007,bloomz_small,R2,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El credito es un recurso que ayuda al bienestar social. Sin embargo,...",0.5079,,,,,
sb_008,bloomz_small,R0,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",Ahora puedes leer este artículo.,0.223,,,,,
sb_008,bloomz_small,R2,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",Ahora puedes ver esta página web.,0.2667,,,,,
