sample_id,model_key,ruleset,source_text,generated_text,inference_seconds,semantic_fidelity,simplicity,fluency,artifact_free,review_notes
sb_006,mistral,R2,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","Familiares gastos presupuesto importante es para previsionar gastos, pagar ingresos y evitar deuda excesiva.

(",7.0418,1,1,1,1,
sb_006,llama3,R0,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","El presupuesto familiar es importante porque te ayuda a saber cuánto gastas, cómo repartes tu dinero y a evitar problemas con la deuda.",7.0351,5,5,5,5,
sb_006,llama3,R2,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","Un presupuesto familiar es importante para saber qué gastar, cómo repartir el dinero y evitar endeudarse demasiado.",6.8888,5,5,5,5,
sb_007,mistral,R0,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede dar acceso rápido a cosas y servicios, pero usarlo irresponsablemente puede poner en riesgo la economía de tu hogar.

(Credit can give immediate access to goods and services, but using it irresponsibly can put your home economy at risk.)",6.8039,4,4,4,4,
sb_007,mistral,R2,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede dar acceso rápido a cosas y servicios, pero usarlo irresponsablemente puede poner en peligro la economía de tu hogar.

(",6.303,4,4,4,4,
sb_007,llama3,R0,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede hacer que los bienes y servicios sean más fáciles de obtener, pero si no se maneja bien, puede afectar negativamente la economía del hogar.",7.6094,4,3,4,5,
sb_007,llama3,R2,"Aunque el crédito puede facilitar el acceso inmediato a bienes y servicios, su uso irresponsable puede comprometer la estabilidad económica del hogar.","El crédito puede hacer que tengas cosas y servicios rápidamente, pero si no lo usas bien, puede afectar la economía de tu casa.",6.9855,4,5,4,5,
sb_008,mistral,R0,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.","En algunos ambientes educativos, simplificar textos mejora la comprención de lectura sin cambiar el significado original de la información.",5.8752,4,3,4,4,
sb_008,mistral,R2,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.","En distintas situaciones educativas, simplificar un texto mejora la comprensión al leer sin cambiar el significado original de la información.",5.7211,4,3,4,5,
sb_008,llama3,R0,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",La simplificación de textos puede ayudar a entender mejor lo que se lee sin cambiar lo importante que se quiere decir.,6.649,5,5,5,5,
sb_008,llama3,R2,"En diversos contextos educativos, la simplificación textual puede contribuir a mejorar la comprensión lectora sin alterar el contenido esencial del mensaje.",La simplificación de textos ayuda a entender mejor lo que se lee sin cambiar el significado principal.,6.5779,4,5,5,5,
